<org.apache.james.mime4j.parser.MimeStreamParser: void parse(java.io.InputStream)> --> <org.apache.james.mime4j.parser.ContentHandler: void startMessage()>
<com.matburt.mobileorg.Synchronizers.Synchronizer: java.util.ArrayList pull(com.matburt.mobileorg.OrgData.OrgFileParser)> --> <com.matburt.mobileorg.Synchronizers.Synchronizer: void pull(com.matburt.mobileorg.OrgData.OrgFileParser,java.util.ArrayList,java.util.HashMap,java.util.HashMap)>
<com.matburt.mobileorg.Gui.Capture.LocationFragment: com.matburt.mobileorg.Gui.Capture.LocationEntry getLocationEntry(com.matburt.mobileorg.OrgData.OrgNode,java.util.ArrayList,java.lang.String)> --> <com.matburt.mobileorg.Gui.Capture.EditActivity: com.matburt.mobileorg.Gui.Capture.EditActivityController getController()>
<com.actionbarsherlock.internal.widget.AbsActionBarView$1: void run()> --> <com.actionbarsherlock.internal.widget.AbsActionBarView: boolean showOverflowMenu()>
<com.matburt.mobileorg.Gui.Capture.LocationEntry: void promptForNewFile()> --> <com.matburt.mobileorg.Gui.Capture.LocationEntry$3: void <init>(com.matburt.mobileorg.Gui.Capture.LocationEntry)>
<org.apache.james.mime4j.parser.MimeTokenStream: java.io.InputStream getDecodedInputStream()> --> <org.apache.james.mime4j.descriptor.BodyDescriptor: java.lang.String getTransferEncoding()>
<org.apache.james.mime4j.message.MessageBuilder: void body(org.apache.james.mime4j.descriptor.BodyDescriptor,java.io.InputStream)> --> <org.apache.james.mime4j.descriptor.BodyDescriptor: java.lang.String getTransferEncoding()>
<org.apache.james.mime4j.message.SimpleContentHandler: void body(org.apache.james.mime4j.descriptor.BodyDescriptor,java.io.InputStream)> --> <org.apache.james.mime4j.descriptor.BodyDescriptor: java.lang.String getTransferEncoding()>
<org.apache.james.mime4j.field.address.Builder: org.apache.james.mime4j.field.address.AddressList buildAddressList(org.apache.james.mime4j.field.address.parser.ASTaddress_list)> --> <org.apache.james.mime4j.field.address.AddressList: void <init>(java.util.List,boolean)>
<oauth.signpost.AbstractOAuthProvider: void retrieveToken(oauth.signpost.OAuthConsumer,java.lang.String,java.lang.String[])> --> <oauth.signpost.OAuthProviderListener: boolean onResponseReceived(oauth.signpost.http.HttpRequest,oauth.signpost.http.HttpResponse)>
<com.matburt.mobileorg.Gui.Agenda.AgendaActivity: void onDestroy()> --> <com.matburt.mobileorg.Gui.Agenda.AgendaActivity: void unregisterReceiver(android.content.BroadcastReceiver)>
